,Description,Category
119,Cervical Cancer Screening Program Using Cobas HPV Assay,Medical Equipment
120,HSPSP II-Health Sector Policy Support Programme II,Medical Equipment
121,Recreational Sports Tourism Compound,Medical Equipment
122,"Egypt, Arab Republic of: Egypt Rural Sanitation Project",Medical Equipment
123,An Integrated Medical City in Giza governorate,Medical Equipment
124,Egypt: Strengthening Social Safety Net Project,Medical Equipment
125,Porto Dead Sea Project,Medical Equipment
126,Egypt : Participaotry & Intrgated Health & Urban Development,Medical Equipment
127,Egypt: (N) Emergency Cash Transfer Project,Medical Equipment
128,Egypt: Al Zaqazeeq University Hospital,Medical Equipment
129,Egypt MOHP - Ras Gharib Hospital,Category
